level_0,index,Event Id,Investigation Type,Accident Number,Event Date,Location,Country,Latitude,Longitude,Airport Code,Airport Name,Injury Severity,Aircraft Damage,Aircraft Category,Registration Number,Make,Model,Amateur Built,Number Of Engines,Engine Type,Far Description,Schedule,Purpose Of Flight,Air Carrier,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase Of Flight,Report Status,Publication Date,Make/Model,Year
0,32031,20001211X11743,Accident,MIA93WA043,1993-01-02,"BIMINI, Bahamas",Bahamas,,,,,Non-Fatal,Destroyed,,N4107V,Piper,PA-31-350,No,2.0,Reciprocating,,,Positioning,,0.0,0.0,0.0,1.0,VMC,,Foreign,16-03-1995,Piper - PA-31-350,1993
2,32033,20001211X11684,Accident,CHI93MA061,1993-01-02,"HIBBING, MN",United States,,,HIB,HIBBING-CHISHOLM,Non-Fatal,Substantial,,N342PX,Saab-Scania Ab (Saab),340A,No,2.0,Turbo Prop,,SCHD,Unknown,Express I (dba: Northwest Airlink),0.0,0.0,0.0,31.0,IMC,Landing,Probable Cause,21-04-1994,Saab-Scania Ab (Saab) - 340A,1993
6,32037,20001211X11648,Accident,ATL93LA049,1993-01-02,"CROSSVILLE, TN",United States,,,CSV,CROSSVILLE MEMORIAL,Non-Fatal,Substantial,,N7712Y,Piper,PA-30,No,2.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,25-10-1993,Piper - PA-30,1993
8,32039,20001211X11662,Accident,CHI93FA063,1993-01-03,"SMITHS CREEK, MI",United States,,,PHN,ST CLAIR COUNTY INTL,Fatal(3),Destroyed,,N1ZD,Cessna,T337G,No,2.0,Reciprocating,,,Personal,,3.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,28-02-1994,Cessna - T337G,1993
10,32041,20001211X11733,Accident,MIA93LA044,1993-01-03,"FORT MYERS, FL",United States,,,RSW,SOUTHWEST FLORIDA REG.,Non-Fatal,Substantial,,N18YV,Beech,1900D,No,2.0,Turbo Prop,,SCHD,Unknown,"Mesa Airlines, Inc. (dba: Usair Express)",0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,10-02-1994,Beech - 1900D,1993
13,32044,20001211X11734,Accident,MIA93LA045,1993-01-05,"SARASOTA, FL",United States,,,,,Non-Fatal,Minor,,N360AA,Boeing,767-323ER,No,2.0,Turbo Fan,,SCHD,Unknown,"American Airlines, Inc.",0.0,3.0,21.0,200.0,IMC,Cruise,Probable Cause,10-02-1994,Boeing - 767-323ER,1993
17,32048,20001211X11642,Accident,ANC93LA025,1993-01-05,"NOME, AK",United States,,,,,Non-Fatal,Substantial,,N900YH,Mitsubishi,MU-2B-35,No,2.0,Turbo Prop,,,Positioning,,0.0,0.0,0.0,1.0,IMC,Cruise,Probable Cause,30-06-1994,Mitsubishi - MU-2B-35,1993
18,32049,20001211X11737,Accident,MIA93LA048,1993-01-06,"TAMPA, FL",United States,,,TPA,TAMPA INTERNATIONAL,Non-Fatal,Substantial,,N1439P,Piper,PA-23,No,2.0,Reciprocating,,,Instructional,,0.0,0.0,1.0,2.0,IMC,Approach,Probable Cause,10-02-1994,Piper - PA-23,1993
22,32053,20001211X11670,Accident,CHI93LA066,1993-01-07,"MARYSVILLE, KS",United States,,,MYZ,MARYSVILLE MUNICIPAL,Non-Fatal,Destroyed,,N8016M,Cessna,310R-II,No,2.0,Reciprocating,,,Business,,0.0,0.0,1.0,5.0,IMC,Go-around,Probable Cause,18-02-1994,Cessna - 310R-II,1993
23,32054,20001211X11640,Incident,ANC93IA026,1993-01-07,"AKUTAN, AK",United States,,,,,Incident,Minor,,N22932,Grumman,G-21A,No,2.0,Reciprocating,,SCHD,Unknown,"Peninsula Airways, Inc.",0.0,0.0,0.0,8.0,VMC,Landing,Probable Cause,03-12-1993,Grumman - G-21A,1993
